,ProdTaken,Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,Gender_Male,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried
16,0,32.0,1,11.0,3,2.0,1,4.0,1.0,1,2,1,0.0,1,18298.0,1,0,1,0,1,1,0,0
17,0,22.0,1,22.0,3,2.0,1,3.0,2.0,1,3,0,0.0,1,17935.0,0,0,0,1,1,1,0,0
18,0,53.0,3,8.0,3,4.0,4,3.0,3.0,0,3,1,0.0,4,30427.0,1,0,1,0,0,0,0,0
19,0,36.0,1,8.0,2,3.0,1,3.0,6.0,1,4,0,1.0,1,22347.0,1,0,1,0,1,0,1,0
20,0,36.0,1,17.0,3,2.0,3,3.0,1.0,0,3,1,2.0,2,22347.0,0,0,1,0,0,1,0,0
21,1,36.0,3,15.0,2,4.0,3,5.0,1.0,0,2,0,0.0,2,18407.0,1,0,1,0,1,0,1,0
22,0,34.0,1,13.0,2,3.0,2,4.0,1.0,0,3,1,0.0,3,26994.0,1,0,1,0,0,0,0,1
23,0,21.0,1,21.0,3,3.0,1,3.0,2.0,0,3,1,1.0,1,16232.0,1,0,1,0,1,0,1,0
24,1,34.0,1,12.0,2,3.0,1,5.0,3.0,0,2,1,1.0,1,17960.0,1,0,0,1,1,0,1,0
25,0,53.0,1,11.0,2,3.0,5,3.0,5.0,0,5,0,1.0,5,34094.0,1,0,1,0,0,1,0,0
26,1,36.0,1,22.0,3,5.0,1,5.0,2.0,1,4,1,2.0,1,22347.0,0,0,1,0,0,0,1,0
27,0,42.0,3,14.0,2,3.0,3,4.0,1.0,0,3,0,1.0,2,21825.0,1,0,0,1,1,0,0,0
28,0,44.0,1,13.0,2,4.0,2,3.0,4.0,0,4,1,0.0,3,25248.0,1,0,0,1,0,0,0,0
29,0,46.0,3,8.0,2,3.0,5,5.0,4.0,0,2,0,1.0,5,33947.0,1,0,0,1,0,0,1,0
30,0,33.0,1,8.0,3,3.0,1,3.0,5.0,0,3,1,2.0,1,17496.0,1,0,0,1,1,0,1,0
31,0,44.0,1,16.0,2,3.0,3,3.0,3.0,1,3,1,1.0,2,21465.0,1,0,1,0,1,0,0,0
32,0,30.0,1,15.0,2,4.0,1,3.0,2.0,0,4,1,1.0,1,17206.0,1,0,0,1,1,0,1,0
33,1,39.0,3,11.0,2,3.0,3,3.0,4.0,0,2,0,1.0,2,17086.0,1,1,0,0,1,0,0,0
34,1,24.0,1,6.0,3,3.0,1,3.0,3.0,1,3,1,2.0,1,17293.0,1,0,0,1,1,0,0,0
35,0,43.0,1,8.0,3,2.0,1,3.0,2.0,0,2,0,1.0,1,17645.0,1,0,0,1,0,1,0,0
36,1,50.0,3,9.0,2,4.0,1,3.0,2.0,1,4,0,0.0,1,17683.0,1,0,0,1,1,0,0,0
37,0,35.0,3,8.0,3,3.0,1,3.0,2.0,0,2,1,0.0,1,17014.0,1,0,0,1,0,0,0,0
38,0,36.0,1,11.0,2,4.0,1,3.0,1.0,1,2,1,0.0,1,95000.0,1,0,1,0,0,0,0,0
39,0,33.0,3,6.0,2,2.0,3,5.0,3.0,0,3,1,0.0,2,20376.0,0,0,1,0,0,0,0,0
40,0,35.0,1,10.0,3,3.0,1,3.0,2.0,0,4,0,0.0,1,16951.0,1,0,1,0,1,1,0,0
41,0,27.0,1,8.0,2,3.0,1,5.0,2.0,0,3,0,1.0,1,17341.0,1,0,1,0,0,1,0,0
42,1,26.0,1,31.0,2,5.0,1,3.0,2.0,0,2,1,1.0,1,17293.0,1,0,1,0,1,0,1,0
43,0,27.0,3,14.0,2,3.0,2,3.0,2.0,0,2,1,0.0,3,23726.0,0,0,1,0,1,0,0,1
44,0,36.0,1,6.0,2,3.0,3,3.0,2.0,0,3,1,0.0,2,22347.0,0,0,0,1,0,0,1,0
45,1,41.0,1,18.0,2,3.0,5,3.0,2.0,0,4,1,0.0,5,34545.0,1,1,0,0,0,0,0,0
46,0,34.0,3,13.0,3,3.0,3,3.0,1.0,0,5,1,1.0,2,19568.0,0,0,0,1,1,0,1,0
47,0,37.0,1,25.0,3,3.0,1,4.0,5.0,0,4,1,1.0,1,18022.0,1,0,1,0,1,0,0,0
48,0,46.0,3,11.0,3,3.0,3,3.0,5.0,1,5,1,1.0,2,20772.0,0,0,0,1,1,0,1,0
49,0,35.0,1,14.0,2,2.0,1,3.0,2.0,0,5,1,1.0,1,17269.0,1,0,1,0,1,0,0,0
50,1,48.0,1,6.0,3,4.0,2,3.0,1.0,1,5,0,2.0,3,20381.0,1,0,1,0,1,0,1,0
51,1,36.0,1,11.0,2,3.0,1,3.0,2.0,1,2,1,0.0,1,18441.0,1,1,0,0,1,0,1,0
52,0,44.0,3,6.0,3,3.0,3,5.0,6.0,1,2,0,0.0,2,20454.0,1,0,0,1,0,1,0,0
53,0,35.0,1,17.0,3,4.0,2,5.0,3.0,1,5,1,1.0,3,24884.0,0,0,0,1,1,0,0,0
54,0,36.0,3,29.0,2,4.0,3,3.0,1.0,1,2,1,0.0,2,22347.0,1,0,0,1,0,0,0,0
55,0,33.0,1,6.0,3,3.0,2,3.0,2.0,1,2,1,0.0,3,28458.0,0,0,1,0,0,0,0,1
56,0,35.0,3,24.0,3,3.0,2,5.0,2.0,0,4,1,0.0,3,24069.0,0,0,1,0,1,0,0,0
57,0,36.0,1,29.0,1,3.0,1,5.0,4.0,1,4,1,0.0,1,22347.0,1,0,0,1,0,0,0,0
58,0,31.0,1,13.0,2,3.0,3,3.0,4.0,0,3,1,0.0,2,20915.0,1,0,1,0,1,1,0,0
59,0,37.0,1,6.0,2,4.0,3,3.0,2.0,0,5,1,1.0,2,20993.0,1,0,1,0,1,1,0,0
60,0,32.0,1,6.0,2,3.0,3,3.0,2.0,1,4,1,0.0,2,21162.0,1,0,0,1,1,0,0,0
61,0,38.0,1,35.0,2,3.0,3,3.0,2.0,0,3,1,0.0,2,17406.0,0,0,1,0,0,0,1,0
62,0,50.0,1,13.0,2,4.0,5,3.0,6.0,1,4,1,1.0,5,33740.0,1,0,0,1,0,1,0,0
63,0,59.0,3,31.0,2,3.0,2,5.0,1.0,0,3,1,0.0,3,22637.0,1,0,1,0,0,0,0,1
64,0,36.0,1,14.0,2,3.0,2,3.0,2.0,0,4,1,1.0,3,25096.0,1,1,0,0,0,1,0,0
65,0,55.0,1,14.0,2,3.0,4,3.0,3.0,1,3,0,1.0,4,29756.0,1,0,0,1,0,1,0,0
66,0,36.0,1,17.0,3,4.0,3,4.0,2.0,0,4,1,1.0,2,21499.0,0,0,1,0,1,0,0,1
67,0,45.0,1,13.0,2,3.0,2,5.0,3.0,0,3,1,1.0,3,24724.0,1,0,1,0,1,1,0,0
68,0,35.0,1,6.0,3,3.0,1,5.0,5.0,0,2,0,1.0,1,17194.0,0,0,0,1,1,0,0,0
69,1,36.0,1,15.0,3,4.0,1,3.0,1.0,1,2,0,1.0,1,18388.0,1,0,0,1,1,0,0,0
70,0,59.0,3,6.0,2,4.0,3,3.0,1.0,0,5,1,1.0,2,20473.0,0,0,1,0,0,0,1,0
71,0,29.0,1,8.0,3,3.0,1,4.0,1.0,0,4,0,0.0,1,17703.0,1,0,1,0,1,0,0,0
72,0,31.0,1,6.0,2,3.0,1,4.0,2.0,0,3,0,0.0,1,17501.0,1,0,0,1,1,0,1,0
73,0,32.0,1,6.0,3,3.0,3,4.0,2.0,0,3,0,0.0,2,21220.0,1,0,1,0,1,0,0,0
74,0,36.0,1,12.0,2,2.0,3,3.0,4.0,0,2,0,0.0,2,18038.0,1,0,1,0,0,0,0,0
75,0,31.0,1,13.0,3,3.0,3,3.0,2.0,0,5,0,1.0,2,22347.0,1,0,1,0,0,0,1,0
76,0,35.0,3,13.0,2,4.0,3,5.0,1.0,0,2,0,1.0,2,22347.0,1,0,0,1,1,0,1,0
77,0,45.0,1,12.0,2,3.0,2,5.0,5.0,1,3,0,0.0,3,28245.0,1,0,1,0,1,0,0,0
78,0,37.0,1,13.0,1,3.0,2,3.0,5.0,0,2,0,0.0,3,28664.0,1,0,0,1,1,0,1,0
79,0,46.0,2,11.0,3,4.0,3,4.0,1.0,1,5,0,1.0,2,20021.0,1,0,0,1,1,1,0,0
80,0,30.0,1,6.0,2,4.0,3,3.0,2.0,1,2,1,1.0,2,20126.0,1,0,1,0,1,0,0,0
81,0,35.0,1,6.0,1,4.0,1,3.0,2.0,0,4,1,0.0,1,17859.0,1,0,0,1,1,0,1,0
82,0,55.0,3,6.0,3,3.0,2,3.0,4.0,0,2,0,1.0,3,25239.0,1,0,1,0,1,0,0,0
83,0,38.0,1,12.0,3,5.0,3,3.0,1.0,1,2,0,2.0,2,20329.0,0,0,0,1,0,1,0,0
84,0,34.0,1,13.0,3,3.0,3,4.0,2.0,0,5,0,0.0,2,22347.0,1,0,0,1,1,0,0,0
85,0,56.0,1,13.0,2,5.0,2,3.0,5.0,0,2,0,0.0,3,22260.0,1,0,1,0,1,0,0,1
86,0,23.0,3,8.0,3,3.0,1,5.0,4.0,0,3,1,1.0,1,17322.0,1,1,0,0,1,1,0,0
87,0,51.0,1,15.0,3,3.0,1,3.0,4.0,0,3,1,0.0,1,17075.0,1,0,1,0,1,0,0,0
88,0,36.0,1,8.0,2,4.0,3,3.0,2.0,0,4,1,0.0,2,22347.0,1,0,1,0,1,0,0,0
89,1,46.0,3,15.0,3,4.0,2,3.0,2.0,0,5,0,1.0,3,24619.0,1,0,0,1,1,0,0,1
90,0,40.0,1,6.0,3,4.0,4,4.0,2.0,0,2,1,2.0,4,28503.0,0,0,1,0,1,0,0,0
91,0,51.0,3,27.0,3,3.0,3,3.0,1.0,1,5,1,1.0,2,20441.0,1,0,0,1,1,0,1,0
92,0,30.0,3,10.0,3,4.0,3,4.0,2.0,1,3,1,1.0,2,20209.0,1,0,0,1,0,1,0,0
93,0,46.0,1,6.0,2,4.0,2,5.0,3.0,1,2,1,1.0,3,25673.0,0,0,0,1,1,0,0,0
94,0,32.0,3,12.0,2,4.0,3,3.0,2.0,0,5,1,0.0,2,20010.0,1,0,0,1,1,0,1,0
95,0,54.0,1,8.0,2,3.0,2,3.0,1.0,0,4,1,0.0,3,28549.0,1,1,0,0,0,0,0,0
96,0,24.0,3,9.0,2,4.0,3,3.0,1.0,0,4,1,0.0,2,19999.0,1,0,1,0,0,0,0,0
97,0,36.0,3,10.0,2,3.0,3,3.0,2.0,0,2,1,0.0,2,22347.0,0,0,0,1,1,0,0,0
98,0,58.0,3,16.0,2,3.0,4,3.0,1.0,0,3,1,1.0,4,28872.0,1,0,0,1,1,0,1,0
99,0,44.0,1,29.0,3,3.0,3,4.0,5.0,0,3,1,0.0,2,17042.0,0,0,0,1,1,0,0,0
100,1,37.0,2,12.0,3,3.0,1,5.0,5.0,1,2,1,0.0,1,17073.0,1,0,1,0,1,1,0,0
101,0,32.0,1,6.0,3,3.0,1,5.0,2.0,0,2,0,2.0,1,17956.0,1,0,1,0,1,0,1,0
102,1,20.0,1,12.0,3,4.0,1,3.0,2.0,1,2,1,1.0,1,17926.0,0,0,1,0,0,0,1,0
103,0,34.0,1,13.0,2,3.0,3,3.0,2.0,0,3,1,0.0,2,19809.0,1,0,1,0,0,0,1,0
104,0,37.0,1,8.0,3,4.0,3,3.0,6.0,0,2,0,1.0,2,20163.0,0,0,1,0,1,1,0,0
105,0,59.0,2,8.0,2,4.0,5,3.0,1.0,0,2,1,1.0,5,33844.0,0,0,1,0,0,0,0,0
106,0,50.0,1,6.0,3,3.0,5,4.0,4.0,1,2,0,2.0,5,33172.0,0,0,1,0,0,0,0,0
107,1,25.0,3,11.0,2,4.0,3,3.0,2.0,1,3,1,0.0,2,20744.0,1,0,0,1,1,0,1,0
108,0,25.0,1,13.0,3,4.0,1,3.0,2.0,0,2,1,2.0,1,17889.0,1,0,0,1,1,0,0,0
109,0,22.0,1,21.0,2,3.0,1,3.0,2.0,0,2,1,1.0,1,17871.0,1,0,0,1,0,0,1,0
110,0,51.0,1,6.0,1,4.0,2,5.0,4.0,0,2,1,0.0,3,22484.0,0,0,0,1,0,0,0,1
111,1,34.0,1,13.0,3,5.0,3,3.0,2.0,1,5,1,1.0,2,21074.0,0,0,1,0,1,0,1,0
112,0,54.0,2,32.0,1,2.0,4,3.0,3.0,1,3,1,0.0,4,32328.0,0,0,1,0,0,0,1,0
113,0,24.0,1,24.0,2,3.0,1,3.0,1.0,0,4,1,0.0,1,17774.0,1,0,1,0,1,0,0,0
114,0,34.0,1,13.0,2,4.0,3,4.0,7.0,0,3,0,1.0,2,19505.0,1,0,1,0,0,1,0,0
115,0,37.0,3,9.0,2,3.0,2,3.0,3.0,0,3,0,0.0,3,22428.0,1,0,1,0,1,0,0,1
116,0,34.0,1,11.0,2,4.0,2,5.0,3.0,0,2,0,0.0,3,26631.0,1,0,0,1,0,0,0,1
117,0,36.0,3,17.0,3,3.0,2,3.0,1.0,0,5,0,0.0,3,24738.0,0,1,0,0,0,0,0,0
118,0,36.0,1,9.0,2,3.0,1,3.0,6.0,0,2,1,0.0,1,17835.0,1,0,1,0,0,1,0,0
119,0,43.0,3,32.0,3,3.0,4,3.0,2.0,1,2,0,0.0,4,31959.0,0,0,1,0,1,0,0,0
120,0,30.0,1,29.0,3,5.0,1,3.0,2.0,0,3,1,2.0,1,17613.0,0,0,1,0,1,1,0,0
121,0,33.0,3,28.0,3,3.0,3,4.0,1.0,0,2,0,1.0,2,21146.0,0,0,0,1,1,0,0,0
122,1,56.0,1,20.0,3,4.0,1,4.0,1.0,1,5,1,1.0,1,19963.0,1,0,1,0,0,0,0,0
123,0,51.0,1,12.0,2,3.0,5,3.0,1.0,0,5,1,0.0,5,34537.0,1,0,1,0,1,0,1,0
124,1,31.0,3,12.0,3,5.0,3,3.0,5.0,1,3,1,1.0,2,21172.0,1,0,1,0,1,0,0,0
125,0,26.0,1,12.0,2,4.0,1,4.0,2.0,0,3,1,0.0,1,17368.0,1,0,1,0,0,0,0,0
126,1,58.0,1,29.0,3,3.0,2,3.0,2.0,0,3,1,0.0,3,25312.0,1,0,0,1,0,0,0,0
127,1,19.0,3,28.0,2,3.0,1,3.0,2.0,1,2,0,1.0,1,16675.0,1,0,0,1,1,0,1,0
128,0,22.0,1,8.0,3,3.0,1,3.0,1.0,0,5,1,2.0,1,17523.0,1,1,0,0,1,0,0,0
129,0,49.0,1,26.0,3,3.0,3,5.0,2.0,0,2,1,2.0,2,21567.0,1,0,0,1,0,0,0,0
130,0,43.0,1,13.0,3,2.0,1,3.0,5.0,0,3,0,2.0,1,19739.0,0,0,0,1,0,0,1,0
131,0,50.0,3,18.0,3,3.0,2,3.0,5.0,0,5,0,0.0,3,24208.0,0,0,0,1,0,0,0,1
132,1,31.0,3,13.0,3,5.0,3,3.0,4.0,1,3,1,0.0,2,19559.0,1,0,1,0,0,0,0,0
133,0,41.0,3,15.0,3,3.0,2,3.0,4.0,1,2,0,1.0,3,23189.0,1,0,1,0,1,1,0,0
134,0,26.0,2,31.0,3,3.0,1,3.0,2.0,0,4,1,0.0,1,17942.0,1,0,1,0,0,0,0,0
135,0,36.0,1,12.0,2,4.0,3,4.0,7.0,0,4,1,1.0,2,19941.0,1,0,0,1,1,1,0,0
136,1,51.0,1,14.0,2,5.0,2,3.0,3.0,0,2,0,1.0,3,25650.0,0,0,1,0,1,0,0,1
137,0,39.0,3,10.0,2,4.0,3,3.0,5.0,0,5,1,0.0,2,20902.0,1,0,1,0,0,0,0,0
138,0,25.0,3,34.0,2,4.0,3,3.0,3.0,0,4,0,0.0,2,23639.0,1,0,1,0,1,0,0,0
139,0,30.0,2,15.0,2,3.0,3,3.0,1.0,1,3,1,1.0,2,21347.0,1,0,1,0,1,0,0,0
140,1,36.0,1,15.0,2,3.0,1,5.0,1.0,0,4,1,1.0,1,22347.0,1,0,0,1,0,0,1,0
141,0,36.0,1,35.0,2,3.0,1,3.0,6.0,0,2,1,0.0,1,18452.0,1,0,0,1,1,0,1,0
142,0,38.0,1,9.0,2,3.0,3,3.0,4.0,1,5,0,0.0,2,1000.0,1,1,0,0,0,0,1,0
143,0,30.0,1,24.0,3,3.0,1,3.0,2.0,0,2,1,0.0,1,17632.0,1,0,1,0,0,0,1,0
144,0,32.0,3,13.0,2,5.0,3,3.0,1.0,0,2,0,1.0,2,19668.0,0,0,0,1,1,1,0,0
145,0,30.0,1,11.0,2,3.0,1,5.0,6.0,0,5,1,1.0,1,18204.0,1,1,0,0,0,1,0,0
146,0,30.0,1,8.0,2,4.0,1,3.0,1.0,0,4,0,0.0,1,17720.0,1,0,0,1,1,0,1,0
147,0,41.0,1,16.0,3,4.0,4,5.0,5.0,0,2,1,0.0,4,32181.0,0,0,1,0,1,1,0,0
148,0,41.0,1,15.0,3,3.0,1,5.0,3.0,0,2,0,2.0,1,17238.0,1,0,1,0,1,0,0,0
149,0,19.0,1,9.0,3,3.0,1,4.0,2.0,0,3,1,2.0,1,16483.0,1,0,0,1,0,0,1,0
150,0,40.0,1,32.0,2,3.0,3,4.0,2.0,0,2,1,0.0,2,20605.0,0,0,0,1,0,1,0,0
151,0,35.0,3,6.0,3,3.0,2,4.0,2.0,0,4,1,2.0,3,22295.0,1,0,0,1,1,0,0,0
152,0,53.0,3,12.0,2,3.0,3,3.0,3.0,1,5,0,0.0,2,17306.0,1,0,0,1,1,0,0,0
153,0,45.0,1,15.0,2,3.0,3,4.0,1.0,0,4,1,0.0,2,17348.0,1,0,1,0,1,1,0,0
154,0,32.0,3,14.0,2,3.0,2,3.0,2.0,0,4,1,1.0,3,23998.0,0,0,0,1,0,0,0,1
155,0,29.0,1,13.0,2,3.0,3,3.0,2.0,0,3,0,1.0,2,22347.0,0,1,0,0,1,0,0,0
156,0,51.0,1,13.0,2,4.0,3,3.0,3.0,0,3,1,1.0,2,21132.0,1,0,0,1,1,0,0,0
157,0,58.0,1,15.0,3,4.0,1,4.0,5.0,1,2,1,0.0,1,18346.0,1,0,0,1,0,0,0,0
158,0,40.0,3,10.0,3,4.0,2,3.0,1.0,0,2,1,0.0,3,25855.0,1,0,0,1,1,0,0,0
159,0,34.0,3,8.0,3,3.0,1,3.0,7.0,0,5,1,2.0,1,17231.0,0,0,0,1,0,0,0,0
160,0,22.0,1,25.0,3,3.0,1,3.0,2.0,0,2,0,1.0,1,17323.0,1,0,0,1,1,0,0,0
161,0,27.0,1,15.0,2,3.0,1,4.0,7.0,0,3,0,0.0,1,17024.0,0,0,0,1,1,1,0,0
162,0,28.0,1,27.0,2,3.0,1,3.0,2.0,0,2,0,0.0,1,17713.0,1,0,0,1,1,0,0,0
163,0,57.0,1,30.0,2,2.0,2,3.0,4.0,1,4,1,1.0,3,24439.0,1,0,1,0,1,1,0,0
164,0,27.0,1,9.0,3,4.0,1,3.0,2.0,1,2,0,2.0,1,17566.0,0,0,0,1,1,1,0,0
165,0,50.0,1,17.0,2,3.0,5,4.0,4.0,0,5,1,1.0,5,34926.0,1,0,1,0,0,0,1,0
166,0,41.0,1,20.0,2,3.0,1,3.0,5.0,0,4,1,1.0,1,17451.0,1,0,1,0,1,1,0,0
167,0,30.0,3,11.0,2,3.0,2,3.0,3.0,0,4,1,1.0,3,24419.0,1,0,1,0,0,0,0,0
168,0,38.0,3,6.0,2,4.0,3,3.0,5.0,0,2,1,1.0,2,23686.0,1,0,1,0,0,0,0,1
169,0,32.0,1,12.0,2,3.0,1,3.0,4.0,0,2,0,1.0,1,18038.0,1,0,1,0,1,0,1,0
170,0,27.0,1,23.0,2,3.0,1,4.0,1.0,1,4,1,0.0,1,18058.0,1,1,0,0,1,0,0,0
171,1,19.0,3,6.0,3,5.0,1,5.0,1.0,0,3,1,1.0,1,17325.0,0,1,0,0,0,0,1,0
172,0,36.0,1,9.0,1,3.0,1,4.0,5.0,0,4,1,0.0,1,17088.0,0,0,0,1,1,0,1,0
173,0,30.0,1,15.0,3,3.0,3,5.0,2.0,0,2,0,1.0,2,18072.0,0,0,0,1,1,1,0,0
174,0,45.0,3,10.0,1,4.0,3,5.0,5.0,1,4,0,0.0,2,20006.0,1,0,1,0,0,1,0,0
175,0,56.0,1,13.0,3,3.0,1,5.0,5.0,1,4,1,1.0,1,22347.0,1,0,1,0,0,1,0,0
176,0,33.0,1,8.0,2,3.0,1,3.0,1.0,0,3,0,1.0,1,17500.0,1,0,1,0,1,0,1,0
177,1,19.0,1,8.0,2,4.0,1,3.0,2.0,0,5,0,0.0,1,16102.0,1,0,1,0,1,0,1,0
178,0,46.0,3,6.0,3,3.0,2,5.0,2.0,0,2,1,1.0,3,25453.0,1,0,0,1,0,1,0,0
179,0,38.0,1,15.0,3,3.0,1,3.0,2.0,0,2,1,1.0,1,17288.0,1,0,1,0,0,0,1,0
180,0,36.0,1,18.0,3,3.0,1,3.0,1.0,1,4,1,2.0,1,22347.0,1,0,0,1,0,0,0,0
181,0,34.0,1,33.0,3,3.0,1,4.0,3.0,0,3,1,0.0,1,17311.0,1,0,0,1,0,0,1,0
182,1,41.0,3,26.0,3,3.0,1,4.0,2.0,1,4,0,2.0,1,18140.0,1,0,0,1,0,0,1,0
183,0,36.0,1,6.0,2,4.0,1,3.0,3.0,0,3,0,0.0,1,18690.0,1,0,0,1,1,0,0,0
184,0,53.0,1,13.0,2,2.0,3,5.0,2.0,0,2,1,1.0,2,22347.0,1,0,0,1,0,1,0,0
185,0,33.0,1,20.0,3,3.0,1,4.0,2.0,0,5,0,0.0,1,17756.0,1,0,0,1,0,0,0,0
186,0,40.0,1,10.0,2,3.0,5,3.0,2.0,0,5,0,1.0,5,34033.0,1,0,0,1,0,0,0,0
187,0,55.0,1,20.0,3,2.0,5,4.0,1.0,0,2,0,2.0,5,33722.0,1,0,0,1,1,0,1,0
188,0,34.0,1,8.0,2,4.0,3,3.0,2.0,0,4,0,0.0,2,24547.0,0,0,1,0,1,0,0,0
189,0,51.0,1,9.0,3,3.0,4,4.0,4.0,0,5,0,1.0,4,28734.0,1,0,0,1,0,0,1,0
190,0,52.0,1,6.0,3,4.0,5,3.0,1.0,0,2,1,1.0,5,34999.0,1,0,1,0,1,0,0,0
191,0,27.0,1,15.0,2,3.0,1,4.0,2.0,0,3,1,0.0,1,17279.0,1,0,0,1,0,0,1,0
192,1,35.0,1,29.0,2,4.0,3,3.0,4.0,1,4,1,1.0,2,20916.0,1,0,1,0,1,0,0,0
193,0,43.0,1,13.0,2,2.0,1,3.0,5.0,0,4,0,1.0,1,17089.0,0,0,0,1,1,1,0,0
194,0,45.0,1,8.0,3,4.0,4,3.0,1.0,0,4,1,0.0,4,31792.0,0,0,0,1,1,0,0,0
195,0,36.0,1,27.0,3,2.0,1,5.0,2.0,1,3,0,2.0,1,18564.0,1,0,1,0,1,0,0,0
196,0,35.0,1,13.0,2,3.0,3,4.0,6.0,0,2,1,0.0,2,22347.0,0,0,0,1,0,0,1,0
197,0,42.0,1,27.0,2,3.0,3,3.0,3.0,0,2,0,0.0,2,20265.0,0,0,0,1,0,1,0,0
198,0,38.0,1,8.0,2,3.0,3,3.0,1.0,0,2,0,1.0,2,21553.0,1,0,1,0,1,0,0,0
199,0,38.0,1,35.0,2,3.0,3,3.0,4.0,0,2,0,1.0,2,21261.0,1,1,0,0,1,0,0,0
200,0,27.0,1,13.0,2,4.0,3,5.0,6.0,0,3,0,1.0,2,22347.0,0,1,0,0,1,0,0,0
201,0,49.0,1,24.0,3,3.0,3,3.0,2.0,1,2,0,1.0,2,21804.0,0,0,1,0,1,1,0,0
202,0,36.0,1,16.0,2,3.0,1,3.0,2.0,1,3,1,0.0,1,22347.0,0,0,0,1,1,1,0,0
203,0,40.0,1,25.0,2,3.0,3,3.0,1.0,1,2,1,1.0,2,17741.0,1,0,0,1,1,0,0,0
204,1,38.0,1,35.0,3,3.0,3,5.0,1.0,1,3,0,1.0,2,21673.0,1,0,0,1,1,0,0,0
205,1,29.0,3,33.0,2,3.0,2,3.0,2.0,0,3,1,1.0,3,22639.0,1,0,0,1,0,0,0,0
206,0,22.0,1,11.0,2,2.0,1,4.0,2.0,1,4,0,0.0,1,17328.0,1,0,1,0,1,1,0,0
207,0,36.0,1,24.0,3,3.0,1,3.0,2.0,0,3,1,2.0,1,17153.0,0,0,0,1,0,0,1,0
208,0,40.0,1,13.0,3,4.0,3,3.0,1.0,0,5,1,0.0,2,19876.0,0,0,1,0,1,0,0,0
209,0,46.0,1,6.0,3,3.0,2,5.0,1.0,0,2,0,0.0,3,24396.0,1,0,0,1,1,1,0,0
210,1,32.0,3,10.0,2,5.0,2,3.0,2.0,0,2,1,1.0,3,25400.0,1,0,0,1,1,0,0,0
211,0,30.0,1,6.0,2,4.0,2,3.0,2.0,0,5,1,1.0,3,23474.0,0,0,1,0,1,0,0,1
212,0,27.0,3,26.0,2,3.0,3,3.0,2.0,0,2,1,1.0,2,24981.0,0,0,1,0,0,0,0,1
213,0,51.0,1,14.0,2,4.0,2,4.0,6.0,0,3,1,1.0,3,27490.0,1,0,1,0,1,0,0,0
214,1,30.0,1,9.0,2,3.0,1,5.0,6.0,1,4,1,1.0,1,17657.0,1,1,0,0,0,0,1,0
